B3V	B	3	V	7.6	4.89E+03	4.71E+00	22570	-0.25	-2.1	-2.37	-4.47	0.647058824	0.725490196	1	1.0224E-01	1.18E-02	3.20E-02	6.6E+01	9.5E+01	2.9E+01
B3VI	B	3	VI	3.8	2.57E+03	3.41E+00	22570	-0.25	-1.4	-2.37	-3.77	0.647058824	0.725490196	1	1.3471E-01	6.47E-03	1.76E-02	4.8E+01	6.9E+01	2.1E+01

B4Ia0	B	4	Ia0	30.1	1.23E+06	9.37E+01	20160	-0.23	-8.4	-2.07	-10.47	0.733333333	0.796078431	1	5.1431E-05	3.72E-03	1.01E-02	1.0E+03	1.5E+03	4.6E+02
B4Ia	B	4	Ia	26.2	3.38E+05	4.92E+01	20160	-0.23	-7	-2.07	-9.07	0.733333333	0.796078431	1	3.0923E-04	5.88E-03	1.60E-02	5.5E+02	7.9E+02	2.4E+02
B4Ib	B	4	Ib	22.3	1.12E+05	2.83E+01	20160	-0.23	-5.8	-2.07	-7.87	0.733333333	0.796078431	1	1.3830E-03	8.25E-03	2.24E-02	3.1E+02	4.5E+02	1.4E+02
B4II	B	4	II	18.4	4.37E+04	1.67E+01	20760	-0.24	-4.7	-2.15	-6.85	0.674509804	0.760784314	1	5.5532E-03	1.08E-02	2.94E-02	2.0E+02	2.8E+02	8.7E+01
B4III	B	4	III	14.5	6.93E+03	6.63E+00	20760	-0.24	-2.7	-2.15	-4.85	0.650980392	0.737254902	1	6.9936E-02	1.98E-02	5.39E-02	7.8E+01	1.1E+02	3.4E+01
B4IV	B	4	IV	10.6	4.79E+03	5.52E+00	20760	-0.24	-2.3	-2.15	-4.45	0.662745098	0.745098039	1	8.8586E-02	1.57E-02	4.26E-02	6.5E+01	9.4E+01	2.9E+01
B4V	B	4	V	6.7	2.29E+03	3.82E+00	20760	-0.24	-1.5	-2.15	-3.65	0.643137255	0.721568627	1	1.6895E-01	1.23E-02	3.34E-02	4.5E+01	6.5E+01	2.0E+01
B4VI	B	4	VI	3.4	1.32E+03	2.89E+00	20760	-0.24	-0.9	-2.15	-3.05	0.643137255	0.721568627	1	1.9800E-01	6.58E-03	1.79E-02	3.4E+01	4.9E+01	1.5E+01

B5Ia0	B	5	Ia0	25.1	9.65E+05	9.39E+01	18950	-0.22	-8.3	-1.91	-10.21	0.701960784	0.792156863	1	4.2614E-05	2.91E-03	7.90E-03	9.2E+02	1.3E+03	4.1E+02
B5Ia	B	5	Ia	21.9	2.91E+05	5.16E+01	18950	-0.22	-7	-1.91	-8.91	0.701960784	0.792156863	1	2.2406E-04	4.42E-03	1.20E-02	5.1E+02	7.3E+02	2.2E+02
B5Ib	B	5	Ib	18.7	8.80E+04	2.84E+01	18950	-0.22	-5.7	-1.91	-7.61	0.701960784	0.792156863	1	1.1475E-03	6.50E-03	1.76E-02	2.8E+02	4.0E+02	1.2E+02
B5II	B	5	II	15.5	2.91E+04	1.63E+01	18950	-0.22	-4.5	-1.91	-6.41	0.68627451	0.764705882	1	5.0309E-03	8.82E-03	2.39E-02	1.6E+02	2.3E+02	7.1E+01
B5III	B	5	III	12.3	3.19E+03	5.40E+00	18950	-0.22	-2.1	-1.91	-4.01	0.658823529	0.741176471	1	1.0980E-01	1.96E-02	5.31E-02	5.3E+01	7.7E+01	2.3E+01
B5IV	B	5	IV	9.1	2.21E+03	4.50E+00	18950	-0.22	-1.7	-1.91	-3.61	0.674509804	0.752941176	1	1.4037E-01	1.57E-02	4.26E-02	4.4E+01	6.4E+01	1.9E+01
B5V	B	5	V	5.9	1.16E+03	3.26E+00	18950	-0.22	-1	-1.91	-2.91	0.666666667	0.749019608	1	2.3937E-01	1.22E-02	3.30E-02	3.2E+01	4.6E+01	1.4E+01
